Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
Beta-144311,"Site 20-52 E1t, Unit 2, F.10",Agricultural,Wood charcoal,20,500-1000,"Stevenson and Haoa Cardinali, 1999",380 ± 40,2c,Stevenson and Haoa Cardinali 2008:75,380,40,
Beta-210554,"Site D, Ahu O’Pepe, inside corner of an L-shaped wall",Agricultural,Wood charcoal - identified,20,2500-3000,"Shepardson et al., 2005",200 ± 40,2c,Stevenson and Haoa Cardinali 2008:75,200,40,
Wk-24285,"ST 16, near Feature HH-751a",Residential,Wood charcoal - identified,20,2000-2500,"Mulrooney, 2006",314 ± 30,2c,Shepardson unpublished,314,30,
Wk-27377,"ST 14, near Feature HH-655a",Residential,Wood charcoal - identified,20,1500-2000,"Mulrooney et al., 2008",407 ± 30,1c,"Mulrooney et al., 2009:101",407,30,
Wk-27378,"ST 21, near Feature SH-2-68",Residential,Wood charcoal - identified,20,1500-2000,"Mulrooney et al., 2008",172 ± 30,1c,Mulrooney 2012,172,30,
Wk-27384,"ST 48, near Feature SH-4-9b",Residential,Wood charcoal,20,1500-2000,"Mulrooney et al., 2008",269 ± 30,1c,Mulrooney 2012,269,30,
K-501,Poike Ditch,Residential,Wood charcoal,20,1000-1500,"Smith et al., 1956",280 ± 100,1c,Mulrooney 2012,280,100,
K-502,Poike Ditch,Residential,Wood charcoal - identified,21,1000-1500,"Smith et al., 1956",1570 ± 100,3c,Smith 1961:391; Martinsson- Wallin and Crockford 2002:249,1570,100,
Beta-208937, Poike Ditch      ,Residential,Wood charcoal - identified,21,1000-1500,"Vargas Casanova et al., 1992",440 ± 60,3c,Smith 1961:391; Martinsson-Wallin and Crockford 2002:249,440,60,
Beta-208938, Poike Ditch      ,Residential,Wood charcoal - unidentified,21,1000-1500,"Vargas Casanova et al., 1992",190 ± 40,1c,"Vargas Casanova et al., 2006:380",190,40,
Beta-47281, Poike Ditch      ,Residential,Wood charcoal - unidentified,21,1000-1500,"Vargas Casanova et al., 1992",760 ± 80,2c,"Vargas Casanova et al., 2006:381-4",760,80,
KIA-17110,SW Poike,Agricultural,Wood charcoal,22,0-500,"Mieth and Bork, 2002",654 ± 22,2c,"Mieth et al., 2002:92, 2004:63",654,22,
KIA-18832,SW Poike,Agricultural,Wood charcoal,22,0-500,"Mieth and Bork, 2002",570 ± 22,2c,"Mieth and Bork, 2003:37",570,22,
KIA-18833,SW Poike,Agricultural,Wood charcoal,22,0-500,"Mieth and Bork, 2002",482 ± 26,2c,"Mieth and Bork, 2003:36",482,26,
KIA-18834,SW Poike,Agricultural,Wood charcoal,22,0-500,"Mieth and Bork, 2002",319 ± 21,2c,"Mieth and Bork, 2003:36",319,21,
KIA-18836,SW Poike,Agricultural,Wood charcoal,22,0-500,"Mieth and Bork, 2002",573 ± 20,2c,"Mieth and Bork, 2003:36",573,20,
KIA-19369,SW Poike,Agricultural,Burnt grass,22,0-500,"Mieth and Bork, 2002",525 ± 26,2c,"Mieth and Bork, 2003:36",525,26,
KIA-26452,"AMTH-II, Ahu Motu Toremo Hiva",Ceremonial,Wood charcoal,24,0-500,"Cauwe et al., 2004",675 ± 20,2c,Mieth and Bork 2003:36,675,20,
KIA-26453,"AMTH-II, Ahu Motu Toremo Hiva",Ceremonial,Wood charcoal,24,0-500,"Cauwe et al., 2004",675 ± 25,2c,"Cauwe et al., 2006:100",675,25,
KIA-26461,"AMTH-II, Ahu Motu Toremo Hiva",Ceremonial,Wood charcoal,24,0-500,"Cauwe et al., 2004",630 ± 25,2c,"Cauwe et al., 2006:100",630,25,
KIA-26464,"AMTH-II, Ahu Motu Toremo Hiva",Ceremonial,Wood charcoal,24,0-500,"Cauwe et al., 2004",700 ± 25,2c,"Cauwe et al., 2006:100",700,25,
KIA-26483,"Burial sub-contemporary, Ahu Motu Toremo Hiva",Burial,Wood charcoal,24,0-500,"Cauwe et al., 2004",150 ± 20,2a,"Cauwe et al., 2006:100",150,20,
KIA-26487,Behind Ahu Motu Toremo Hiva,Agricultural,Wood charcoal,24,0-500,"Cauwe et al., 2004",240 ± 20,2c,"Cauwe et al., 2006:100",240,20,
KIA-29812,"AMTH-II, Ahu Motu Toremo Hiva",Ceremonial,Wood charcoal,24,0-500,"Cauwe et al., 2004",630 ± 25,2c,"Cauwe et al., 2006:100",630,25,
KIA-29813,"AMTH-I, Ahu Motu Toremo Hiva",Ceremonial,Wood charcoal,24,0-500,"Cauwe et al., 2004",610 ± 25,2c,"Cauwe et al., 2006:100",610,25,
KIA-29814,Behind Ahu Motu Toremo Hiva,Agricultural,Wood charcoal,24,0-500,"Cauwe et al., 2004",325 ± 25,2c,"Cauwe et al., 2006:100",325,25,
SRR-2430,Poike E cave near Ana Okeke,Residential,Carbonized nutshell- rat-gnawed,25,0-500,"Dransfield et al., 1983",820 ± 40,2c,"Cauwe et al., 2006:100",820,40,
KIA-18837,E Poike,Residential,Wood charcoal,25,0-500,"Mieth and Bork, 2002",631 ± 22,2c,"Dransfield et al., 1984",631,22,
KIA-18838,E Poike,Residential,Wood charcoal,25,0-500,"Mieth and Bork, 2002",588 ± 22,2b,"Mieth and Bork 2004:57, 2005:60",588,22,
KIA-20838,"Fireplace, east Poike ",Residential,Carbonized nutshell,25,0-500,"Mieth and Bork, 2002",317 ± 20,2b,"Mieth and Bork 2004:57, 2005:60",317,20,
Beta-210553,"Site B, Inside hare paenga near ahu",Residential,Wood charcoal,25,1000-1500,"Shepardson et al., 2005",640 ± 40,1c,Mieth and Bork 2004:58,640,40,
AZ-1,"Site 26-7b, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",435 ± 40,2c,Shepardson unpublished,435,40,
AZ-2,"Site 26-22B, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",605 ± 40,2c,Wozniak 2003:302-4,605,40,
AZ-3,"Site 26-22C, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",385 ± 40,2c,Wozniak 2003:302-4,385,40,
AZ-4,"Site 26-36, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",210 ± 60,2c,Wozniak 2003:302-4,210,60,
AZ-5,"Site 26-10, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",715 ± 70,2c,Wozniak 2003:302-4,715,70,
AZ-6,"Site S6-T0, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",415 ± 70,2c,Wozniak 2003:302-4,415,70,
AZ-7,"Site 26-6c, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",680 ± 45,2c,Wozniak 2003:302-4,680,45,
AZ-8,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",375 ± 45,2b,Wozniak 2003:302-4,375,45,
AZ-9,"Site 26-6, Te Niu",Residential,Wood charcoal,26,0-500,"Wozniak, 1996",230 ± 45,2c,Wozniak 2003:302-4,230,45,
