UniqID,SiteName,Laboratory ID,Age,SD,DeltaR,DeltaRErr,pterrestrial,pmarine,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes
210,Site 8-85 ,SI-5460 ,580,60,0,0,1,0,Wood charcoal  identified ,shcal13,Tahai,Residential,1c,
211,"Site B, Inside a hare paenga near ahu ",Beta-210553 ,640,40,0,0,1,0,Wood charcoal ,shcal13,South Poike,Residential,2c,
212,"Site C, Hare umu, Ahu Te Pa Haha Tea",Beta-210555 ,210,40,0,0,1,0,Wood charcoal ,shcal13,Ahu Te Pa Haha Tea,Residential,2b,
213,"Site D, Ahu OPepe, inside corner of an L-shaped wall ",Beta-210554 ,200,40,0,0,1,0,Wood charcoal ,shcal13,Ahu O'Pepe,Residential,2c,
214,ST 12,Wk-24284 ,214,30,0,0,1,0,Wood charcoal e identified ,shcal13,Lowland plain Hanga Ho'onu,Residential,1c,
215,ST 14,Wk-27377 ,407,30,0,0,1,0,Wood charcoal e identified ,shcal13,Far interior Hanga Ho'onu,Residential,1c,
216,ST 16,Wk-24285 ,314,30,0,0,1,0,Wood charcoal e identified ,shcal13,Far interior Hanga Ho'onu,Residential,1c,
217,ST 21,Wk-27378 ,172,30,0,0,1,0,Wood charcoal e identified ,shcal13,Far interior Hanga Ho'onu,Residential,1c,
218,ST 22,Wk-24286 ,157,28,0,0,1,0,Wood charcoal identified ,shcal13,Interior uplands Hanga Ho'onu,Residential,1c,
219,ST 3,Wk-27375 ,352,30,0,0,1,0,Wood charcoal e identified ,shcal13,Lowland plain Hanga Ho'onu,Residential,1c,
220,ST 39,Wk-27379 ,133,30,0,0,1,0,Wood charcoal identified ,shcal13,SH-3-274a,Residential,1c,
221,ST 43,Wk-27380 ,131,30,0,0,1,0,Wood charcoal e identified ,shcal13,Interior uplands Hanga Ho'onu,Residential,1c,
222,ST 43,Wk-27381 ,426,30,0,0,1,0,Wood charcoal e identified ,shcal13,Interior uplands Hanga Ho'onu,Residential,1c,
223,ST 46,Wk-27383 ,212,30,0,0,1,0,Wood charcoal e identified ,shcal13,Heki'i,Residential,1c,
224,ST 46,Wk-27382 ,243,30,0,0,1,0,Wood charcoal e identified ,shcal13,Heki'i,Residential,1c,
225,ST 48,Wk-27384 ,269,30,0,0,1,0,Wood charcoal e identified ,shcal13,ST 48,Residential,1c,
226,ST 6,Wk-27376 ,146,30,0,0,1,0,Wood charcoal e identified ,shcal13,ST 6,Residential,1c,
227,Statue No. 478 ,Ua-1145 ,180,110,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
228,Statue Quarry ,K-507 ,480,100,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
229,Statue Quarry ,Ua-14189 ,550,70,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
230,SW Poike ,KIA-19369 ,525,26,0,0,1,0,Burnt grass ,shcal13,SW Poike,Agricultural,2c,
231,SW Poike ,KIA-18834 ,319,21,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Agricultural,2c,
232,SW Poike ,KIA-18833 ,482,26,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Agricultural,2c,
233,SW Poike ,KIA-18832 ,570,22,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Agricultural,2c,
234,SW Poike ,KIA-17110 ,654,22,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Agricultural,2c,
235,SW Poike ,KIA-18841 ,297,21,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Residential,2b,
236,SW Poike ,KIA-18842 ,298,48,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Agricultural,2b,
237,SW Poike ,KIA-18839 ,561,26,0,0,1,0,Wood charcoal ,shcal13,SW Poike,Agricultural,2b,
238,"T 01, Stone-lined basin ",Erl-13249 ,307,39,0,0,1,0,Carbonized nutshell ,shcal13,Ava Ranga Uka o Toreke Hau,Agricultural,1a,mulrooney classifies these as 'water'
239,"T 01, Stone-lined basin ",Erl-13248 ,360,39,0,0,1,0,Carbonized nutshell ,shcal13,Ava Ranga Uka o Toreke Hau,Agricultural,1a,
240,"T 01, Stone-lined basin ",Erl-13247 ,384,40,0,0,1,0,Soil with organic remains ,shcal13,Ava Ranga Uka o Toreke Hau,Agricultural,1c,
241,"T 01, Stone-lined basin ",Erl-13250 ,349,40,0,0,1,0,Wood charcoal ,shcal13,Ava Ranga Uka o Toreke Hau,Agricultural,2c,
242,Te Niu ,AZ-26 ,240,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Residential,2b,
243,"Test unit 107, Hiva Hiva Lava Flow",Beta-238582 ,490,40,0,0,1,0,Carbonized nutshell ,shcal13,Hiva Hiva,Residential,1c,
244,Viri o Tuki ,GrA-25872 ,410,35,0,0,1,0,Wood charcoal ,shcal13,Viri o Tuki,Ceremonial,2b,
